"Row #",Date,Payee,Amount,In,Out,Balance,Currency,Memo,"Check #","Unique Transaction ID","Record Type","Investment Action","Security ID","Security Name",Ticker,Price,"Quantity of Shares",Commission,"Trade Date","Sell Type","Buy Type",Initiated,"Settle Date","Account #","Account Type","Bank ID","Branch ID",FI_ORG,FI_ID,Intu_BID,FileName
11,12/20/2017,"WEBROOT SOFTWARE, INC.",-129.87,,129.87,-8288.1,USD,,,NONE,DEBIT,,,,,,,,12/20/2017,,,12/20/2017,12/20/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
12,12/19/2017,"Payment Thank You - Web",300,300,,-8158.23,USD,,,NONE,CREDIT,,,,,,,,12/19/2017,,,12/19/2017,12/19/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
13,12/19/2017,"APL*APPLE ONLINE STORE",-1134.46,,1134.46,-8458.23,USD,,,NONE,DEBIT,,,,,,,,12/19/2017,,,12/19/2017,12/19/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
14,12/18/2017,"FEDEX 788976600356",-23.5,,23.5,-7323.77,USD,,,NONE,DEBIT,,,,,,,,12/18/2017,,,12/18/2017,12/18/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
15,12/18/2017,"APL*APPLE ONLINE STORE",-107.17,,107.17,-7300.27,USD,,,NONE,DEBIT,,,,,,,,12/18/2017,,,12/18/2017,12/18/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
16,12/18/2017,"APL*APPLE ONLINE STORE",-85.52,,85.52,-7193.1,USD,,,NONE,DEBIT,,,,,,,,12/18/2017,,,12/18/2017,12/18/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
17,12/17/2017,"KROGER #735",-35.34,,35.34,-7107.58,USD,,,NONE,DEBIT,,,,,,,,12/17/2017,,,12/17/2017,12/17/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
18,12/15/2017,"Payment Thank You - Web",500,500,,-7072.24,USD,,,NONE,CREDIT,,,,,,,,12/15/2017,,,12/15/2017,12/15/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
19,12/15/2017,"99 RANCH #1106",-8.62,,8.62,-7572.24,USD,,,NONE,DEBIT,,,,,,,,12/15/2017,,,12/15/2017,12/15/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
20,12/15/2017,"KROGER #733",-20.93,,20.93,-7563.62,USD,,,NONE,DEBIT,,,,,,,,12/15/2017,,,12/15/2017,12/15/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
21,12/15/2017,"B AND B LOCKSMITH1",-11.37,,11.37,-7542.69,USD,,,NONE,DEBIT,,,,,,,,12/15/2017,,,12/15/2017,12/15/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
22,12/15/2017,"FEDEX 788923996633",-23.5,,23.5,-7531.32,USD,,,NONE,DEBIT,,,,,,,,12/15/2017,,,12/15/2017,12/15/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
23,12/14/2017,"BEST BUY MHT  00015172",-1196.13,,1196.13,-7507.82,USD,,,NONE,DEBIT,,,,,,,,12/14/2017,,,12/14/2017,12/14/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
24,12/12/2017,"USPS PO 4801780006",-23.75,,23.75,-6311.69,USD,,,NONE,DEBIT,,,,,,,,12/12/2017,,,12/12/2017,12/12/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
25,12/12/2017,"EXXONMOBIL    48171854",-15.14,,15.14,-6287.94,USD,,,NONE,DEBIT,,,,,,,,12/12/2017,,,12/12/2017,12/12/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
26,12/12/2017,"TAXI SVC FORT LAUDERDA",-21,,21,-6272.8,USD,,,NONE,DEBIT,,,,,,,,12/12/2017,,,12/12/2017,12/12/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
27,12/12/2017,"OUTBACK 1070",-29.93,,29.93,-6251.8,USD,,,NONE,DEBIT,,,,,,,,12/12/2017,,,12/12/2017,12/12/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
28,12/12/2017,"DOUBLETREE DEERFIELD BCH",-320,,320,-6221.87,USD,,,NONE,DEBIT,,,,,,,,12/12/2017,,,12/12/2017,12/12/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
29,12/12/2017,"IAH PARKING AREA AB",-66,,66,-5901.87,USD,,,NONE,DEBIT,,,,,,,,12/12/2017,,,12/12/2017,12/12/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
30,12/11/2017,"YELLOW CAB WPB",-64.54,,64.54,-5835.87,USD,,,NONE,DEBIT,,,,,,,,12/11/2017,,,12/11/2017,12/11/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
31,12/11/2017,"YELLOW CAB WPB",-22.3,,22.3,-5771.33,USD,,,NONE,DEBIT,,,,,,,,12/11/2017,,,12/11/2017,12/11/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
32,12/11/2017,"TAXI SVC FORT LAUDERDA",-22.5,,22.5,-5749.03,USD,,,NONE,DEBIT,,,,,,,,12/11/2017,,,12/11/2017,12/11/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
33,12/11/2017,"TAXI SVC FORT LAUDERDA",-16.25,,16.25,-5726.53,USD,,,NONE,DEBIT,,,,,,,,12/11/2017,,,12/11/2017,12/11/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
34,12/10/2017,"CHEESECAKE BOCA RATON",-23.94,,23.94,-5710.28,USD,,,NONE,DEBIT,,,,,,,,12/10/2017,,,12/10/2017,12/10/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
35,12/10/2017,"BOBBY BAHIAS RESTAURANT",-14.6,,14.6,-5686.34,USD,,,NONE,DEBIT,,,,,,,,12/10/2017,,,12/10/2017,12/10/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
36,12/10/2017,"YELLOW CAB WPB",-19.35,,19.35,-5671.74,USD,,,NONE,DEBIT,,,,,,,,12/10/2017,,,12/10/2017,12/10/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
37,12/10/2017,"BOBBY BAHIAS RESTAURANT",-44.16,,44.16,-5652.39,USD,,,NONE,DEBIT,,,,,,,,12/10/2017,,,12/10/2017,12/10/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
38,12/10/2017,"YELLOW CAB WPB",-13.57,,13.57,-5608.23,USD,,,NONE,DEBIT,,,,,,,,12/10/2017,,,12/10/2017,12/10/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
39,12/08/2017,"PSYCHTODAY TD",-29.95,,29.95,-5594.66,USD,,,NONE,DEBIT,,,,,,,,12/08/2017,,,12/08/2017,12/08/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
40,12/06/2017,"KROGER #349",-15.48,,15.48,-5564.71,USD,,,NONE,DEBIT,,,,,,,,12/06/2017,,,12/06/2017,12/06/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
41,12/03/2017,"ATT*BILL PAYMENT",-171.34,,171.34,-5549.23,USD,,,NONE,DEBIT,,,,,,,,12/03/2017,,,12/03/2017,12/03/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
