"Row #",Date,Payee,Amount,In,Out,Balance,Currency,Memo,"Check #","Unique Transaction ID","Record Type","Investment Action","Security ID","Security Name",Ticker,Price,"Quantity of Shares",Commission,"Trade Date","Sell Type","Buy Type",Initiated,"Settle Date","Account #","Account Type","Bank ID","Branch ID",FI_ORG,FI_ID,Intu_BID,FileName
1,12/29/2017,"DILLARD'S 774 MEMORIAL CI",-52.5,,52.5,-9091.77,USD,,,NONE,DEBIT,,,,,,,,12/29/2017,,,12/29/2017,12/29/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
2,12/28/2017,"U-HAULCOPY & POSTAL",-81.93,,81.93,-9039.27,USD,,,NONE,DEBIT,,,,,,,,12/28/2017,,,12/28/2017,12/28/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
3,12/28/2017,"READYREFRESH BY NESTLE",-52.39,,52.39,-8957.34,USD,,,NONE,DEBIT,,,,,,,,12/28/2017,,,12/28/2017,12/28/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
4,12/24/2017,"MCAFEE *WWW.MCAFEE.COM",-64.94,,64.94,-8904.95,USD,,,NONE,DEBIT,,,,,,,,12/24/2017,,,12/24/2017,12/24/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
5,12/24/2017,"OFFICE DEPOT #15",-17.74,,17.74,-8840.01,USD,,,NONE,DEBIT,,,,,,,,12/24/2017,,,12/24/2017,12/24/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
6,12/24/2017,"LAS ALAMEDAS",-98.08,,98.08,-8822.27,USD,,,NONE,DEBIT,,,,,,,,12/24/2017,,,12/24/2017,12/24/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
7,12/22/2017,"FEDEX 789049999174",-50,,50,-8724.19,USD,,,NONE,DEBIT,,,,,,,,12/22/2017,,,12/22/2017,12/22/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
8,12/21/2017,"USPS PO 4803727500",-9.8,,9.8,-8674.19,USD,,,NONE,DEBIT,,,,,,,,12/21/2017,,,12/21/2017,12/21/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
9,12/21/2017,"AMAZON MKTPLACE PMTS",-146.29,,146.29,-8664.39,USD,,,NONE,DEBIT,,,,,,,,12/21/2017,,,12/21/2017,12/21/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
10,12/20/2017,"IN *HOUSTON RELATIONSHIP",-230,,230,-8518.1,USD,,,NONE,DEBIT,,,,,,,,12/20/2017,,,12/20/2017,12/20/2017,999999999,,,,,,,"2017-12 0MRC TRANSACTIONS 8480.QBO"
