"Row #",Date,Payee,Amount,In,Out,Balance,Currency,Memo,"Check #","Unique Transaction ID","Record Type","Investment Action","Security ID","Security Name",Ticker,Price,"Quantity of Shares",Commission,"Trade Date","Sell Type","Buy Type",Initiated,"Settle Date","Account #","Account Type","Bank ID","Branch ID",FI_ORG,FI_ID,Intu_BID,FileName
1,04/30/2018,"HEB  #492",-6.94,,6.94,-9091.77,USD,,,NONE,DEBIT,,,,,,,,04/30/2018,,,04/30/2018,04/30/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
2,04/26/2018,"READYREFRESH BY NESTLE",-24.5,,24.5,-9084.83,USD,,,NONE,DEBIT,,,,,,,,04/26/2018,,,04/26/2018,04/26/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
3,04/25/2018,"Payment Thank You - Web",100,100,,-9060.33,USD,,,NONE,CREDIT,,,,,,,,04/25/2018,,,04/25/2018,04/25/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
4,04/17/2018,"INT'L SOC STUDY OF TRAUM",-509,,509,-9160.33,USD,,,NONE,DEBIT,,,,,,,,04/17/2018,,,04/17/2018,04/17/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
5,04/17/2018,"INT'L SOC STUDY OF TRAUM",-257,,257,-8651.33,USD,,,NONE,DEBIT,,,,,,,,04/17/2018,,,04/17/2018,04/17/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
6,04/12/2018,"OFFICE DEPOT #15",-84.07,,84.07,-8394.33,USD,,,NONE,DEBIT,,,,,,,,04/12/2018,,,04/12/2018,04/12/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
7,04/10/2018,"Payment Thank You - Web",804.83,804.83,,-8310.26,USD,,,NONE,CREDIT,,,,,,,,04/10/2018,,,04/10/2018,04/10/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
8,04/10/2018,"PSYCHTODAY TD",-29.95,,29.95,-9115.09,USD,,,NONE,DEBIT,,,,,,,,04/10/2018,,,04/10/2018,04/10/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
9,04/04/2018,"Payment Thank You - Web",1000,1000,,-9085.14,USD,,,NONE,CREDIT,,,,,,,,04/04/2018,,,04/04/2018,04/04/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
10,04/02/2018,"99 RANCH #1101",-14.87,,14.87,-10085.14,USD,,,NONE,DEBIT,,,,,,,,04/02/2018,,,04/02/2018,04/02/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
11,04/02/2018,"THE UPHOLSTERY SHOP",-300,,300,-10070.27,USD,,,NONE,DEBIT,,,,,,,,04/02/2018,,,04/02/2018,04/02/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
12,04/02/2018,INDEED,-115.47,,115.47,-9770.27,USD,,,NONE,DEBIT,,,,,,,,04/02/2018,,,04/02/2018,04/02/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
13,04/01/2018,"ATT*BILL PAYMENT",-162.39,,162.39,-9654.8,USD,,,NONE,DEBIT,,,,,,,,04/01/2018,,,04/01/2018,04/01/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
14,04/01/2018,"WAL-MART #3640",-10.7,,10.7,-9492.41,USD,,,NONE,DEBIT,,,,,,,,04/01/2018,,,04/01/2018,04/01/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
15,04/01/2018,"MIRAE COMM",-25.98,,25.98,-9481.71,USD,,,NONE,DEBIT,,,,,,,,04/01/2018,,,04/01/2018,04/01/2018,999999999,,,,,,,"2018-04 0MRC TRANSACTIONS 8480.QBO"
